Time,OA Drybulb (F),OA Wetbulb (F),OA Dewpoint (F),Condenser Water Temp (F),Chilled Water Temp (F)
1/1/2019 1:00,36,33,30.1447,44.6253,47.127
1/1/2019 2:00,36,33,28.88,44.6036,47.1243
1/1/2019 3:00,35,32,26.8436,44.6007,47.1217
1/1/2019 4:00,34,31,26.1949,44.6039,47.1216
1/1/2019 5:00,34,31,26.9158,44.5978,47.119
1/1/2019 6:00,33,30,24.6817,44.6011,47.1189
1/1/2019 7:00,34,30,23.957,44.685,47.1619
1/1/2019 8:00,34,30,22.2768,44.6704,47.1755
1/1/2019 9:00,34,29,21.458,44.6739,47.1836
1/1/2019 10:00,34,29,20.5325,44.6724,47.1864
1/1/2019 11:00,35,30,20.6021,44.6751,47.1891
1/1/2019 12:00,36,31,22.4174,44.6778,47.1918
1/1/2019 13:00,39,33,24.0279,44.6758,47.1918
1/1/2019 14:00,40,34,26.3381,44.6805,47.1945
1/1/2019 15:00,40,34,24.0985,44.6785,47.1945
1/1/2019 16:00,38,32,23.2734,44.6785,47.1945
1/1/2019 17:00,35,30,19.6369,44.6785,47.1945
1/1/2019 18:00,34,29,18.6974,44.6832,47.1972
1/1/2019 19:00,34,29,17.6414,44.6766,47.1945
1/1/2019 20:00,34,29,18.6974,44.6832,47.1972
1/1/2019 21:00,33,27,15.367,44.58,47.1462
1/1/2019 22:00,32,26,11.4478,44.6005,47.1325
1/1/2019 23:00,31,25,10.0352,44.5911,47.1217
1/2/2019 0:00,30,24,10.0352,44.5849,47.1136
1/2/2019 1:00,27,22,6.73595,44.6469,47.1377
1/2/2019 2:00,26,22,8.44835,44.6209,47.1378
1/2/2019 3:00,25,21,8.5138,44.6151,47.1351
1/2/2019 4:00,24,20,6.80088,44.6123,47.1324
1/2/2019 5:00,23,19,6.80088,44.6152,47.1324
1/2/2019 6:00,22,18,6.80088,44.6094,47.1297
1/2/2019 7:00,22,18,6.80088,44.6974,47.1753
1/2/2019 8:00,22,18,6.80088,44.7142,47.2078
1/2/2019 9:00,22,18,6.86562,44.7055,47.216
1/2/2019 10:00,24,20,6.86562,44.7134,47.2241
1/2/2019 11:00,27,22,8.57904,44.7039,47.2215
1/2/2019 12:00,28,23,11.5808,44.7272,47.2349
1/2/2019 13:00,29,24,11.5808,44.7147,47.2323
1/2/2019 14:00,30,25,12.9668,44.725,47.2376
1/2/2019 15:00,31,25,12.9668,44.726,47.2404
1/2/2019 16:00,31,26,15.5022,44.707,47.2296
1/2/2019 17:00,30,26,16.669,44.7093,47.2269
1/2/2019 18:00,30,26,18.8345,44.6745,47.2054
1/2/2019 19:00,31,27,19.8438,44.6848,47.2026
1/2/2019 20:00,31,27,20.8098,44.7133,47.2187
1/2/2019 21:00,31,28,21.7363,44.5785,47.1544
1/2/2019 22:00,32,28,21.6671,44.598,47.1352
1/2/2019 23:00,32,28,21.6671,44.5942,47.1244
1/3/2019 0:00,32,29,23.4136,44.5881,47.1163
1/3/2019 1:00,32,29,24.1689,44.5853,47.1109
1/3/2019 2:00,35,31,24.9656,44.6051,47.1162
1/3/2019 3:00,35,31,24.9656,44.5983,47.1162
1/3/2019 4:00,35,32,25.7355,44.6044,47.1189
1/3/2019 5:00,36,32,24.8949,44.6011,47.1189
1/3/2019 6:00,36,32,25.7355,44.6011,47.1189
1/3/2019 7:00,37,33,27.8306,44.6984,47.1699
1/3/2019 8:00,40,36,31.0438,44.6827,47.1863
1/3/2019 9:00,40,37,32.9988,44.6844,47.1944
1/3/2019 10:00,41,38,34.2075,44.6832,47.1972
1/3/2019 11:00,42,39,35.3668,44.6813,47.1972
1/3/2019 12:00,42,39,35.2845,44.6859,47.1999
1/3/2019 13:00,41,39,36.9391,44.6931,47.2052
1/3/2019 14:00,41,39,36.8557,44.6939,47.208
1/3/2019 15:00,41,39,36.8557,44.6829,47.2026
1/3/2019 16:00,40,38,35.7638,44.6867,47.2026
1/3/2019 17:00,40,38,35.7638,44.6867,47.2026
1/3/2019 18:00,40,37,33.4464,44.6958,47.2079
1/3/2019 19:00,40,37,33.4464,44.6829,47.2026
1/3/2019 20:00,39,36,32.2127,44.6867,47.2026
1/3/2019 21:00,39,36,30.8254,44.5872,47.1516
1/3/2019 22:00,38,34,28.9527,44.6068,47.1379
1/3/2019 23:00,38,34,28.3657,44.5974,47.1271
1/4/2019 0:00,38,33,26.1949,44.5912,47.119
1/4/2019 1:00,37,32,24.753,44.5884,47.1136
1/4/2019 2:00,36,31,22.2768,44.6017,47.1162
1/4/2019 3:00,35,29,17.4351,44.5982,47.1162
1/4/2019 4:00,34,28,17.4351,44.5982,47.1162
1/4/2019 5:00,32,27,16.3278,44.5982,47.1162
1/4/2019 6:00,31,26,16.3278,44.5982,47.1162
1/4/2019 7:00,31,25,9.76958,44.6921,47.1645
1/4/2019 8:00,29,24,11.3141,44.673,47.1782
1/4/2019 9:00,29,23,8.25082,44.708,47.2051
1/4/2019 10:00,29,23,8.25082,44.7073,47.216
1/4/2019 11:00,28,23,8.25082,44.722,47.2295
1/4/2019 12:00,29,24,11.3141,44.7049,47.2242
1/4/2019 13:00,30,24,11.3141,44.6716,47.2027
1/4/2019 14:00,31,25,11.3141,44.6866,47.2026
1/4/2019 15:00,31,25,11.3141,44.7176,47.2214
1/4/2019 16:00,31,25,8.25082,44.6735,47.2027
